Block,Lot,Use_Districts_Superseded,Use_Districts_Approved,Additional_Info_Split_Lots_Use,Height_Bulk_Superseded,Height_Bulk_Approved,Additional_Info_Split_Lots_Height,Special_Use_Districts_Approved,Coastal_Zone
0010,001,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0010,002,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0011,007,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0011,008,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0012,001,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0012,002,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0012,003,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0012,005,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0012,006,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0012,007,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,001,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,004,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,005,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,006,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,007,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,009,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,010,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,016,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0014,001,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0015,001,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0017,002,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0018,001,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0018,004,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0018,005,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0019,001,P,C-2,N/A,40-X,50//85-R-4,N/A,Non-Contiguous SFMTA Special Use District,N/A
0020,001,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0021,001,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0022,001,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0022,010,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0022,012,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0022,014,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0022,015,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0023,002,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0023,003,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0023,004,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0023,005,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0024,001,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,002,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,005,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,006,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,007,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,009,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,010,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,011,NC-1,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,012,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,015,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,016,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,017,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,018,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,019,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,020,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,021,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,022,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,024,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,025,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,032,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,035,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,038,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,041,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,044,NC-1,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,003,NC-1,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,004,NC-1,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,008,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,012,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,014,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,017,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,019,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,020,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,021,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,023,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,024,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,028,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,029,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,032,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,039,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,042,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,045,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0026,002,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,003,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,004,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,005,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,007,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,010,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,012,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,013,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,014,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,015,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,016,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,017,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,018,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,021,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,022,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,023,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,024,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,026,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,027,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,029,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,031,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,034,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,036,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,039,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,043,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,046,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,048,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,051,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,054,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0026,061,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,001,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,002,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,004,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,005,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,006,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,008,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,009,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,010,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,012,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,017,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,019,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,020,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,022,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,023,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,026,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,027,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,030,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,032,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,034,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,035,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,036,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,039,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,048,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,061,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,065,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0027,077,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0028,003,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0028,007,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0028,014,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0028,016,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0029,007,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0029,008,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0030,001,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0030,003,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0030,004,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0030,007,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0030,008,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0030,009,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0030,010,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0030,011,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0030,012,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0030,013,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0030,014,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0031,007,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0032,001,RM-3,RTO-C,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0032,002,RM-3,RTO-C,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0033,003,RM-3,RTO-C,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0033,005,P,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0034,002,P,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0035,001,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0040,014,RM-3,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0040,017,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0040,033,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0040,034,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0041,002,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0041,004,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0041,005,BEACH,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0041,031,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0041,035,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0041,039,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0041,040,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0041,100,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0041,102,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0041,104,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0041,127,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0041,154,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0042,022,RM-3,Remove,N/A,40-X,Remove,N/A,N/A,N/A
0043,005,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0043,007,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0043,008,RM-3,Remove,N/A,40-X,Remove,N/A,N/A,N/A
0044,001,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0044,005,RH-2,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,006,RH-2,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,007,RH-2,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,008,RH-2,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,011,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0044,012,RH-3,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,016,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0044,018,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0044,020,RH-3,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,021,RH-3,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,022,RH-3,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,023,RH-3,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,024,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0044,025,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0044,028,RH-2,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,030,RH-2,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,035,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0044,038,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0044,041,RH-2,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,043,RH-2,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,044,RH-2,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,045,RH-2,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0044,047,RH-2,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0045,002,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,003,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,005,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,006,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,017,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,018,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,019,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,020,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,021,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,022,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,023,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,024,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,025,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,026,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,028,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,030,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,032,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,034,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,035,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,036,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,037,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,040,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,042,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,043,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,044,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,047,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,048,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,052,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,075,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,076,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0045,091,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0047,002,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0047,005,RM-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0047,006,RM-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0047,007,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0047,010,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0047,013,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0047,031,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0047,034,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,001,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,004,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,006,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,008,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,011,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,012,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,013,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,014,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,015,RM-1,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,016,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,017,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,018,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,019,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,020,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,021,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0048,024,RH-1(D),No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0049,001,RH-3,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0049,007,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0049,008,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0049,009,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0049,012,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0049,015,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0049,018,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0049,021,RH-3,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0049,023,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0049,031,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0049,033,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0050,001,BEACH,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0050,002,BEACH,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0050,003,BEACH,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0050,004,BEACH,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0050,006,RM-1,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0050,007,RM-1,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0050,008,RM-1,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0050,009,RM-1,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0050,012,RM-1,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0050,015,RM-1,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0050,016,RM-1,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0050,017,RM-1,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0050,019,RM-1,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0050,021,BEACH,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0050,024,RM-1,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0050,028,RM-1,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0050,030,RM-1,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0050,032,BEACH; RM-1 NCD-NORTH,BEACH,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0050,033,RM-1,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,001,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,002,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,007,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,008,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,009,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,011,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,015,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,016,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,017,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,018,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,019,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,020,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,022,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,023,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,024,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,025,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,026,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,027,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,029,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,030,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,037,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,081,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0051,117,BEACH,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0052,014,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0052,015,BEACH,No change,N/A,40-X,40//50-R-4,N/A,N/A,N/A
0060,005,RM-2,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0060,007,RM-2,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0060,008,RM-2,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0060,009,RM-2,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0060,010,RM-2,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0060,011,RM-2,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0060,016,RM-2,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,001,RM-2,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,006,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,007,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,008,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,009,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,010,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,011,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,012,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,013,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,017,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,018,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,019,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,020,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,021,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,024,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,025,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,026,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,027,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
0061,030,RH-3,No change,N/A,40-X,40//40-R-4,N/A,N/A,N/A
