"Parcel.Number","old_height","new_height_rezoning","new_height_housing_choice","height_increase_rezoning","height_increase_housing_choice"
"0030014",40,50,85,TRUE,TRUE
"0031007",40,50,85,TRUE,TRUE
"0032001",40,50,85,TRUE,TRUE
"0032002",40,50,85,TRUE,TRUE
"0033003",40,50,85,TRUE,TRUE
"0033005",40,50,85,TRUE,TRUE
"0034002",40,50,85,TRUE,TRUE
"0035001",40,50,85,TRUE,TRUE
"0040014",40,50,85,TRUE,TRUE
"0040017",40,50,85,TRUE,TRUE
"0040033",40,50,85,TRUE,TRUE
"0040034",40,50,85,TRUE,TRUE
"0041002",40,50,85,TRUE,TRUE
"0041004",40,50,85,TRUE,TRUE
"0041005",40,50,85,TRUE,TRUE
"0041031",40,50,85,TRUE,TRUE
"0041035",40,50,85,TRUE,TRUE
"0041039",40,50,85,TRUE,TRUE
"0041040",40,50,85,TRUE,TRUE
"0041100",40,50,85,TRUE,TRUE
"0041102",40,50,85,TRUE,TRUE
"0041104",40,50,85,TRUE,TRUE
"0041127",40,50,85,TRUE,TRUE
"0041154",40,50,85,TRUE,TRUE
"0042022",40,NA,NA,FALSE,FALSE
"0043005",40,40,65,FALSE,TRUE
"0043007",40,50,85,TRUE,TRUE
"0043008",40,NA,NA,FALSE,FALSE
"0044001",40,40,65,FALSE,TRUE
"0044005",40,40,50,FALSE,TRUE
"0044006",40,40,50,FALSE,TRUE
"0044007",40,40,50,FALSE,TRUE
"0044008",40,40,50,FALSE,TRUE
"0044011",40,40,65,FALSE,TRUE
"0044012",40,40,50,FALSE,TRUE
"0044016",40,40,65,FALSE,TRUE
"0044018",40,40,65,FALSE,TRUE
"0044020",40,40,50,FALSE,TRUE
"0044021",40,40,50,FALSE,TRUE
"0044022",40,40,50,FALSE,TRUE
"0044023",40,40,50,FALSE,TRUE
"0044024",40,40,65,FALSE,TRUE
"0044025",40,40,65,FALSE,TRUE
"0044028",40,40,50,FALSE,TRUE
"0044030",40,40,50,FALSE,TRUE
"0044035",40,40,65,FALSE,TRUE
"0044038",40,40,65,FALSE,TRUE
"0044041",40,40,50,FALSE,TRUE
"0044043",40,40,50,FALSE,TRUE
"0044044",40,40,50,FALSE,TRUE
"0044045",40,40,50,FALSE,TRUE
"0044047",40,40,50,FALSE,TRUE
"0045002",40,40,40,FALSE,FALSE
"0045003",40,40,40,FALSE,FALSE
"0045005",40,40,40,FALSE,FALSE
"0045006",40,40,40,FALSE,FALSE
"0045017",40,40,40,FALSE,FALSE
"0045018",40,40,40,FALSE,FALSE
"0045019",40,40,40,FALSE,FALSE
"0045020",40,40,40,FALSE,FALSE
"0045021",40,40,40,FALSE,FALSE
"0045022",40,40,40,FALSE,FALSE
"0045023",40,40,40,FALSE,FALSE
"0045024",40,40,40,FALSE,FALSE
"0045025",40,40,40,FALSE,FALSE
"0045026",40,40,40,FALSE,FALSE
"0045028",40,40,40,FALSE,FALSE
"0045030",40,40,40,FALSE,FALSE
"0045032",40,40,40,FALSE,FALSE
"0045034",40,40,40,FALSE,FALSE
"0045035",40,40,40,FALSE,FALSE
"0045036",40,40,40,FALSE,FALSE
"0045037",40,40,40,FALSE,FALSE
"0045040",40,40,40,FALSE,FALSE
"0045042",40,40,40,FALSE,FALSE
"0045043",40,40,40,FALSE,FALSE
"0045044",40,40,40,FALSE,FALSE
"0045047",40,40,40,FALSE,FALSE
"0045048",40,40,40,FALSE,FALSE
"0045052",40,40,40,FALSE,FALSE
"0045075",40,40,40,FALSE,FALSE
"0045076",40,40,40,FALSE,FALSE
"0045091",40,40,40,FALSE,FALSE
"0047002",40,40,40,FALSE,FALSE
"0047005",40,40,40,FALSE,FALSE
"0047006",40,40,40,FALSE,FALSE
"0047007",40,40,40,FALSE,FALSE
"0047010",40,40,40,FALSE,FALSE
"0047013",40,40,40,FALSE,FALSE
"0047031",40,40,40,FALSE,FALSE
"0047034",40,40,40,FALSE,FALSE
"0048001",40,40,40,FALSE,FALSE
"0048004",40,40,40,FALSE,FALSE
"0048006",40,40,40,FALSE,FALSE
"0048008",40,40,40,FALSE,FALSE
"0048011",40,40,40,FALSE,FALSE
"0048012",40,40,40,FALSE,FALSE
"0048013",40,40,40,FALSE,FALSE
"0048014",40,40,40,FALSE,FALSE
"0048015",40,40,40,FALSE,FALSE
"0048016",40,40,40,FALSE,FALSE
"0048017",40,40,40,FALSE,FALSE
"0048018",40,40,40,FALSE,FALSE
"0048019",40,40,40,FALSE,FALSE
"0048020",40,40,40,FALSE,FALSE
"0048021",40,40,40,FALSE,FALSE
"0048024",40,40,40,FALSE,FALSE
"0049001",40,40,50,FALSE,TRUE
"0049007",40,40,40,FALSE,FALSE
"0049008",40,40,40,FALSE,FALSE
"0049009",40,40,40,FALSE,FALSE
"0049012",40,40,40,FALSE,FALSE
"0049015",40,40,40,FALSE,FALSE
"0049018",40,40,40,FALSE,FALSE
"0049021",40,40,50,FALSE,TRUE
"0049023",40,40,40,FALSE,FALSE
"0049031",40,40,40,FALSE,FALSE
"0049033",40,40,40,FALSE,FALSE
"0050001",40,40,65,FALSE,TRUE
"0050002",40,40,65,FALSE,TRUE
"0050003",40,40,65,FALSE,TRUE
"0050004",40,40,65,FALSE,TRUE
"0050006",40,40,50,FALSE,TRUE
"0050007",40,40,50,FALSE,TRUE
"0050008",40,40,50,FALSE,TRUE
"0050009",40,40,50,FALSE,TRUE
"0050012",40,40,50,FALSE,TRUE
"0050015",40,40,50,FALSE,TRUE
"0050016",40,40,50,FALSE,TRUE
"0050017",40,40,50,FALSE,TRUE
"0050019",40,40,50,FALSE,TRUE
"0050021",40,40,65,FALSE,TRUE
"0050024",40,40,50,FALSE,TRUE
"0050028",40,40,50,FALSE,TRUE
"0050030",40,40,50,FALSE,TRUE
"0050032",40,40,50,FALSE,TRUE
"0050033",40,40,50,FALSE,TRUE
"0051001",40,40,50,FALSE,TRUE
"0051002",40,40,50,FALSE,TRUE
"0051007",40,40,50,FALSE,TRUE
"0051008",40,40,50,FALSE,TRUE
"0051009",40,40,50,FALSE,TRUE
"0051011",40,40,50,FALSE,TRUE
"0051015",40,40,50,FALSE,TRUE
"0051016",40,40,50,FALSE,TRUE
"0051017",40,40,50,FALSE,TRUE
"0051018",40,40,50,FALSE,TRUE
"0051019",40,40,50,FALSE,TRUE
"0051020",40,40,50,FALSE,TRUE
"0051022",40,40,50,FALSE,TRUE
"0051023",40,40,50,FALSE,TRUE
"0051024",40,40,50,FALSE,TRUE
"0051025",40,40,50,FALSE,TRUE
"0051026",40,40,50,FALSE,TRUE
"0051027",40,40,50,FALSE,TRUE
"0051029",40,40,50,FALSE,TRUE
"0051030",40,40,50,FALSE,TRUE
"0051037",40,40,50,FALSE,TRUE
"0051081",40,40,50,FALSE,TRUE
"0051117",40,40,65,FALSE,TRUE
"0052014",40,40,50,FALSE,TRUE
"0052015",40,40,50,FALSE,TRUE
"0060005",40,40,40,FALSE,FALSE
"0060007",40,40,40,FALSE,FALSE
"0060008",40,40,40,FALSE,FALSE
"0060009",40,40,40,FALSE,FALSE
"0060010",40,40,40,FALSE,FALSE
"0060011",40,40,40,FALSE,FALSE
"0060016",40,40,40,FALSE,FALSE
"0061001",40,40,40,FALSE,FALSE
"0061006",40,40,40,FALSE,FALSE
"0061007",40,40,40,FALSE,FALSE
"0061008",40,40,40,FALSE,FALSE
"0061009",40,40,40,FALSE,FALSE
"0061010",40,40,40,FALSE,FALSE
"0061011",40,40,40,FALSE,FALSE
"0061012",40,40,40,FALSE,FALSE
"0061013",40,40,40,FALSE,FALSE
"0061017",40,40,40,FALSE,FALSE
"0061018",40,40,40,FALSE,FALSE
"0061019",40,40,40,FALSE,FALSE
"0061020",40,40,40,FALSE,FALSE
"0061021",40,40,40,FALSE,FALSE
"0061024",40,40,40,FALSE,FALSE
"0061025",40,40,40,FALSE,FALSE
"0061026",40,40,40,FALSE,FALSE
"0061027",40,40,40,FALSE,FALSE
"0061030",40,40,40,FALSE,FALSE
"0061034",40,40,40,FALSE,FALSE
"0061035",40,40,40,FALSE,FALSE
"0061037",40,40,40,FALSE,FALSE
"0061039",40,40,40,FALSE,FALSE
"0061040",40,40,40,FALSE,FALSE
"0061041",40,40,40,FALSE,FALSE
"0061046",40,40,40,FALSE,FALSE
"0062001",40,40,40,FALSE,FALSE
"0062003",40,40,40,FALSE,FALSE
"0062004",40,40,40,FALSE,FALSE
"0062005",40,40,40,FALSE,FALSE
"0062007",40,40,40,FALSE,FALSE
"0062010",40,40,40,FALSE,FALSE
"0062011",40,40,40,FALSE,FALSE
"0062012",40,40,40,FALSE,FALSE
"0062013",40,40,40,FALSE,FALSE
"0062014",40,40,40,FALSE,FALSE
"0062016",40,40,40,FALSE,FALSE
"0062017",40,40,40,FALSE,FALSE
"0062019",40,40,40,FALSE,FALSE
"0062020",40,40,40,FALSE,FALSE
"0062021",40,40,40,FALSE,FALSE
"0062022",40,40,40,FALSE,FALSE
"0062023",40,40,40,FALSE,FALSE
"0062024",40,40,40,FALSE,FALSE
"0062025",40,40,40,FALSE,FALSE
"0062026",40,40,40,FALSE,FALSE
"0062027",40,40,40,FALSE,FALSE
"0062028",40,40,40,FALSE,FALSE
"0062030",40,40,40,FALSE,FALSE
"0062031",40,40,40,FALSE,FALSE
"0062032",40,40,40,FALSE,FALSE
"0062043",40,40,40,FALSE,FALSE
"0062050",40,40,40,FALSE,FALSE
"0062052",40,40,40,FALSE,FALSE
"0062059",40,40,40,FALSE,FALSE
"0062062",40,40,40,FALSE,FALSE
"0062065",40,40,40,FALSE,FALSE
"0063001",40,40,40,FALSE,FALSE
"0063002",40,40,40,FALSE,FALSE
"0063003",40,40,40,FALSE,FALSE
"0063004",40,40,40,FALSE,FALSE
"0063005",40,40,40,FALSE,FALSE
"0063006",40,40,40,FALSE,FALSE
"0063007",40,40,40,FALSE,FALSE
"0063009",40,40,40,FALSE,FALSE
"0063010",40,40,40,FALSE,FALSE
"0063011",40,40,40,FALSE,FALSE
"0063012",40,40,40,FALSE,FALSE
"0063013",40,40,40,FALSE,FALSE
"0063014",40,40,40,FALSE,FALSE
"0063015",40,40,40,FALSE,FALSE
"0063017",40,40,40,FALSE,FALSE
"0063018",40,40,40,FALSE,FALSE
"0063019",40,40,40,FALSE,FALSE
"0063021",40,40,40,FALSE,FALSE
"0063022",40,40,40,FALSE,FALSE
"0063023",40,40,40,FALSE,FALSE
"0063024",40,40,40,FALSE,FALSE
"0063025",40,40,40,FALSE,FALSE
"0063026",40,40,40,FALSE,FALSE
"0063027",40,40,40,FALSE,FALSE
"0063028",40,40,40,FALSE,FALSE
"0063029",40,40,40,FALSE,FALSE
"0063030",40,40,40,FALSE,FALSE
"0063034",40,40,40,FALSE,FALSE
"0063037",40,40,40,FALSE,FALSE
"0064001",40,40,40,FALSE,FALSE
"0064002",40,40,40,FALSE,FALSE
"0064003",40,40,40,FALSE,FALSE
"0064004",40,40,40,FALSE,FALSE
"0064005",40,40,40,FALSE,FALSE
"0064006",40,40,40,FALSE,FALSE
"0064007",40,40,40,FALSE,FALSE
"0064009",40,40,40,FALSE,FALSE
"0064010",40,40,50,FALSE,TRUE
"0064011",40,40,50,FALSE,TRUE
"0064012",40,40,50,FALSE,TRUE
"0064014",40,40,50,FALSE,TRUE
"0064015",40,40,50,FALSE,TRUE
"0064016",40,40,50,FALSE,TRUE
"0064017",40,40,50,FALSE,TRUE
"0064018",40,40,50,FALSE,TRUE
"0064019",40,40,50,FALSE,TRUE
"0064020",40,40,50,FALSE,TRUE
"0064021",40,40,50,FALSE,TRUE
"0064023",40,40,50,FALSE,TRUE
"0064024",40,40,50,FALSE,TRUE
"0064025",40,40,50,FALSE,TRUE
"0064026",40,40,50,FALSE,TRUE
"0064028",40,40,50,FALSE,TRUE
"0064030",40,40,40,FALSE,FALSE
"0064032",40,40,50,FALSE,TRUE
"0064033",40,40,40,FALSE,FALSE
"0064036",40,40,50,FALSE,TRUE
"0064040",40,40,50,FALSE,TRUE
"0064052",40,40,40,FALSE,FALSE
"0065001",40,40,50,FALSE,TRUE
"0065002",40,40,50,FALSE,TRUE
"0065003",40,40,50,FALSE,TRUE
"0065004",40,40,50,FALSE,TRUE
"0065005",40,40,50,FALSE,TRUE
"0065006",40,40,50,FALSE,TRUE
"0065008",40,40,50,FALSE,TRUE
"0065010",40,40,65,FALSE,TRUE
"0065011",40,40,50,FALSE,TRUE
"0065012",40,40,50,FALSE,TRUE
"0065013",40,40,65,FALSE,TRUE
"0065015",40,40,65,FALSE,TRUE
"0065016",40,40,65,FALSE,TRUE
"0065017",40,40,65,FALSE,TRUE
"0065021",40,40,50,FALSE,TRUE
"0065024",40,40,50,FALSE,TRUE
"0065025",40,40,65,FALSE,TRUE
"0065026",40,40,65,FALSE,TRUE
"0065027",40,40,65,FALSE,TRUE
"0065048",40,40,65,FALSE,TRUE
"0065049",40,40,50,FALSE,TRUE
"0065058",40,40,50,FALSE,TRUE
"0065060",40,40,50,FALSE,TRUE
"0065062",40,40,50,FALSE,TRUE
"0066001",40,40,65,FALSE,TRUE
"0066002",40,40,50,FALSE,TRUE
"0066003",40,40,50,FALSE,TRUE
"0066005",40,40,50,FALSE,TRUE
